condition,eps,sample_id,iterations,execution_time,filename
moderate,0.005,844,70,425.6986529827118,data/sioux/moderate/sample_0844.pkl
moderate,0.005,959,70,427.4418842792511,data/sioux/moderate/sample_0959.pkl
moderate,0.005,849,65,429.05635380744934,data/sioux/moderate/sample_0849.pkl
moderate,0.005,770,70,430.82367181777954,data/sioux/moderate/sample_0770.pkl
moderate,0.005,941,80,432.80602383613586,data/sioux/moderate/sample_0941.pkl
moderate,0.005,353,77,434.69812202453613,data/sioux/moderate/sample_0353.pkl
moderate,0.005,821,76,436.57882165908813,data/sioux/moderate/sample_0821.pkl
moderate,0.005,20,72,438.3540802001953,data/sioux/moderate/sample_0020.pkl
moderate,0.005,755,62,439.90323519706726,data/sioux/moderate/sample_0755.pkl
moderate,0.005,312,66,441.5559287071228,data/sioux/moderate/sample_0312.pkl
moderate,0.005,170,55,442.95864963531494,data/sioux/moderate/sample_0170.pkl
moderate,0.005,185,74,444.77333402633667,data/sioux/moderate/sample_0185.pkl
moderate,0.005,655,59,446.25565242767334,data/sioux/moderate/sample_0655.pkl
moderate,0.005,372,72,448.054762840271,data/sioux/moderate/sample_0372.pkl
moderate,0.005,802,74,449.9073145389557,data/sioux/moderate/sample_0802.pkl
moderate,0.005,417,66,451.56544065475464,data/sioux/moderate/sample_0417.pkl
moderate,0.005,745,79,453.5252344608307,data/sioux/moderate/sample_0745.pkl
moderate,0.005,349,101,455.967084646225,data/sioux/moderate/sample_0349.pkl
moderate,0.005,335,78,457.8744685649872,data/sioux/moderate/sample_0335.pkl
moderate,0.005,485,79,459.7986207008362,data/sioux/moderate/sample_0485.pkl
moderate,0.005,641,73,461.5972819328308,data/sioux/moderate/sample_0641.pkl
moderate,0.005,460,71,463.3377740383148,data/sioux/moderate/sample_0460.pkl
moderate,0.005,523,84,465.3765766620636,data/sioux/moderate/sample_0523.pkl
moderate,0.005,601,80,467.3630838394165,data/sioux/moderate/sample_0601.pkl
moderate,0.005,31,63,468.92054772377014,data/sioux/moderate/sample_0031.pkl
moderate,0.005,139,86,471.02177333831787,data/sioux/moderate/sample_0139.pkl
moderate,0.005,801,59,472.48159170150757,data/sioux/moderate/sample_0801.pkl
moderate,0.005,464,62,474.0299701690674,data/sioux/moderate/sample_0464.pkl
moderate,0.005,646,69,475.7458724975586,data/sioux/moderate/sample_0646.pkl
moderate,0.005,765,74,477.57193875312805,data/sioux/moderate/sample_0765.pkl
moderate,0.005,901,66,479.2129006385803,data/sioux/moderate/sample_0901.pkl
